Number,Name,Days,Time,Room,Instructor,Available,Description,General Ed,Distribution Req,Course Materials,Notes
ECON 119-02,Principles of Economics,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Gabriel Lade,Avail./Max.: 16 / 16,"A one-semester introduction to the basic tools of micro- and macroeconomic analysis. Microeconomics deals with consumers, firms, markets and income distribution. Macroeconomics deals with national income, employment, inflation and money. This course counts as a Group E elective.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=119&section-1=02,*First-Year Course only*
ECON 119-03,Principles of Economics,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Pete Ferderer,Avail./Max.: 25 / 25,"A one-semester introduction to the basic tools of micro- and macroeconomic analysis. Microeconomics deals with consumers, firms, markets and income distribution. Macroeconomics deals with national income, employment, inflation and money. This course counts as a Group E elective.",['Quantitative Thinking Q3'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=119&section-1=03,
ECON 119-04,Principles of Economics,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: Pete Ferderer,Avail./Max.: 25 / 25,"A one-semester introduction to the basic tools of micro- and macroeconomic analysis. Microeconomics deals with consumers, firms, markets and income distribution. Macroeconomics deals with national income, employment, inflation and money. This course counts as a Group E elective.",['Quantitative Thinking Q3'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=119&section-1=04,
ECON 119-05,Principles of Economics,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Lucas Threinen,Avail./Max.: 25 / 25,"A one-semester introduction to the basic tools of micro- and macroeconomic analysis. Microeconomics deals with consumers, firms, markets and income distribution. Macroeconomics deals with national income, employment, inflation and money. This course counts as a Group E elective.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=119&section-1=05,
ECON 119-06,Principles of Economics,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Lucas Threinen,Avail./Max.: 25 / 25,"A one-semester introduction to the basic tools of micro- and macroeconomic analysis. Microeconomics deals with consumers, firms, markets and income distribution. Macroeconomics deals with national income, employment, inflation and money. This course counts as a Group E elective.",['Quantitative Thinking Q3'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=119&section-1=06,
ECON 194-01,Can Business Be Good?,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Kate Reiling,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=194&section-1=01,
ECON 229-01,World Economic History,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Pete Ferderer,Avail./Max.: 25 / 25,"This course presents a broad overview of world economic history. It uses concepts and models developed in Principles of Economics to explore how the interplay between geography, institutions, and technology has influenced material living standards from the Stone Age to the present. In particular, we will study the causes and consequences of long-term structural forces such as the agriculture, industrial and informational revolutions, the Malthusian trap and demographic transition, slavery, globalization, and the rise of government. We will also explore more cyclical phenomena such as wars, financial crises, economic depressions and hyper-inflations. Students will learn how economic historians use evidence to make sense of the past and the role economic history plays in guiding current policy debates. This course counts as a Group E elective. Prerequisite(s): ECON 119. C- or higher required for all prerequisites.",['Internationalism'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=229&section-1=01,
ECON 235-01,"Climate Change: Science, Economics, and Policy",Days:  T R,Time: 09:40 am-11:10 am,Room:,"Instructor: Bradtmiller, West",Avail./Max.: 25 / 25,"Combustion of fossil fuels produces carbon dioxide, which traps energy near Earth's surface and leads to warmer average global temperatures. Combustion of fossil fuels also forms the backbone of the modern economy. This team-taught course provides a framework in which to consider the costs and benefits of fossil fuel consumption in the present and over the coming decades and centuries. We use concepts from climate science and environmental economics to evaluate existing and proposed policy interventions designed to reduce fossil fuel consumption, and consider possible technological solutions to slow or reverse climate change. Among our main approaches are state-of-the-art Integrated Assessment Models; students will be exposed to several of the most commonly used models and to research from their critics. This course counts as a Group E elective. Students signing up for the course as Economics will get credit toward the social sciences general distribution requirement; those signing up for the course as Environmental Studies will get credit toward the natural sciences and mathematics general distribution requirement. Prerequisite(s): ECON 119Â .",['Quantitative Thinking Q3'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=235&section-1=01,*First day attendance required; cross-listed with ENVI 235-01*
ECON 258-01,Introduction to Securities Analysis,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Joyce Minor,Avail./Max.: 25 / 25,"This course will primarily focus on equity securities analysis (stocks) from the perspective of institutional (Wall Street) investors. Topics will include industry analysis and forecasting, financial statement analysis, fundamental company analysis and valuation methods. Students will form industry groups and will each research a company in that industry. Students will build complete historical and projected financial statement models in Excel. The end product of the course will be a company report written by each student. This course counts as a Group BÂ elective. Prerequisite(s): ECON 113",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=258&section-1=01,
ECON 294-01,Intro to Labor Economics,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Lucas Threinen,Avail./Max.: 25 / 25,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=294&section-1=01,
ECON 353-01,Managerial Accounting,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Jeff Evans,Avail./Max.: 25 / 25,"Planning is the key to business success. How do firms plan for the future? Setting objectives and budgets. Evaluating and rewarding employee performance. Controlling inventory, cash budgeting, and capital budgeting. Extensive use of case studies and group work. This course counts as a Group B elective. Prerequisite(s): ECON 113 (earned with C- or higher) or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=353&section-1=01,
